"","gene_name"
"1267","Rsu1"
"1268","Cubn"
"1269","Trdmt1"
"1270","Vim"
"1271","St8sia6"
"1272","Hacd1"
"1273","Stam"
"1274","Tmem236"
"1275","Mrc1"
"1276","Slc39a12"
"1277","Cacnb2"
"1278","Nsun6"
"1279","Arl5b"
"1280","Malrd1"
"1281","Plxdc2"
"1282","Nebl"
"1283","H2al2a"
"1284","A930004D18Rik"
"1285","Skida1"
"1286","Mllt10"
"1287","Dnajc1"
"1288","Commd3"
"1289","Bmi1"
"1290","Spag6"
"1291","Carlr"
"1292","Pip4k2a"
"1293","Armc3"
"1294","Msrb2"
"1295","Ptf1a"
"1296","4921504E06Rik"
"1297","Otud1"
"1298","Etl4"
"1299","Arhgap21"
"1300","Enkur"
"1301","Thnsl1"
"1302","Gpr158"
"1303","Myo3a"
"1304","Gad2"
"1305","Apbb1ip"
"1306","Pdss1"
"1307","Abi1"
"1308","Acbd5"
"1309","Mastl"
"1310","Yme1l1"
"1311","Potegl"
"1312","Nxph2"
"1313","Spopl"
"1314","Hnmt"
"1315","Tbpl2"
"1316","Il1f8"
"1317","Il1f9"
"1318","Il1f6"
"1319","Il1f5"
"1320","Il1f10"
"1321","Il1rn"
"1322","Psd4"
"1323","Pax8"
"1324","Cacna1b"
"1325","Ehmt1"
"1326","Arrdc1"
"1327","Zmynd19"
"1328","Dph7"
"1329","Mrpl41"
"1330","Pnpla7"
"1331","Nsmf"
"1332","Entpd8"
"1333","Noxa1"
"1334","Nrarp"
"1335","Tor4a"
"1336","Nelfb"
"1337","Stpg3"
"1338","Fam166a"
"1339","Tubb4b"
"1340","Slc34a3"
"1341","Rnf224"
"1342","Cysrt1"
"1343","Rnf208"
"1344","Ndor1"
"1347","Tmem203"
"1348","Tprn"
"1349","Ssna1"
"1350","Anapc2"
"1351","Tmem210"
"1352","Lrrc26"
